Time (s)	System Output	ControllerOutput
8.690104	0.982474	0.985017
8.700104	0.982535	0.985073
8.710104	0.982596	0.985123
8.720104	0.982657	0.985178
8.730104	0.982718	0.985227
8.740105	0.982778	0.985282
8.750105	0.982838	0.985331
8.760105	0.982898	0.985386
8.770105	0.982958	0.985435
8.780106	0.983018	0.985489
8.790106	0.983077	0.985538
8.800106	0.983136	0.985589
8.810106	0.983195	0.985641
8.820107	0.983254	0.985690
8.830107	0.983312	0.985743
8.840107	0.983371	0.985791
8.850107	0.983429	0.985841
8.860107	0.983487	0.985892
8.870108	0.983545	0.985941
8.880108	0.983602	0.985990
8.890108	0.983660	0.986039
8.900108	0.983717	0.986090
8.910109	0.983774	0.986137
8.920109	0.983831	0.986186
8.930109	0.983887	0.986236
8.940109	0.983944	0.986283
8.950109	0.984000	0.986332
8.960110	0.984056	0.986379
8.970110	0.984112	0.986427
8.980110	0.984167	0.986477
8.990110	0.984223	0.986523
9.000111	0.984278	0.986571
9.010111	0.984333	0.986617
9.020111	0.984388	0.986664
9.030111	0.984443	0.986711
9.040112	0.984497	0.986757
9.050112	0.984551	0.986806
9.060112	0.984606	0.986851
9.070112	0.984660	0.986897
9.080112	0.984713	0.986943
9.090113	0.984767	0.986989
9.100113	0.984820	0.987034
9.110113	0.984874	0.987080
9.120113	0.984927	0.987125
9.130114	0.984979	0.987170
9.140114	0.985032	0.987215
9.150114	0.985085	0.987260
9.160114	0.985137	0.987304
9.170115	0.985189	0.987349
9.180115	0.985241	0.987393
9.190115	0.985293	0.987437
9.200115	0.985345	0.987481
9.210115	0.985396	0.987525
9.220116	0.985447	0.987569
9.230116	0.985498	0.987613
9.240116	0.985549	0.987656
9.250116	0.985600	0.987700
